PathInput,Hostname,NAME,DESCR,PID,VID,SN
AYA-2-DR_202.28.31.209_20230313-1430,RP/0/RSP0/CPU0:AYA-2-DR,0/RSP0,ASR 9000 Route Switch Processor 5 for Packet Transport 24G,A9K-RSP5-TR,"V04,",FOC2519NJG0
AYA-2-DR_202.28.31.209_20230313-1430,RP/0/RSP0/CPU0:AYA-2-DR,0/RSP1,ASR 9000 Route Switch Processor 5 for Packet Transport 24G,A9K-RSP5-TR,"V04,",FOC2434NRBV
AYA-2-DR_202.28.31.209_20230313-1430,RP/0/RSP0/CPU0:AYA-2-DR,0/0,48X10G/1G  Service Edge Optimized LC,A9K-48X10GE-1G-SE,"V04,",FOC2521N6UP
AYA-2-DR_202.28.31.209_20230313-1430,RP/0/RSP0/CPU0:AYA-2-DR,GigabitEthernet0/0/0/0,"1000BASE-ZX SFP transceiver module, SMF, 1550nm, DOM",GLC-ZX-SMD,"V02,",ACW25112S04
AYA-2-DR_202.28.31.209_20230313-1430,RP/0/RSP0/CPU0:AYA-2-DR,GigabitEthernet0/0/0/1,"1000BASE-ZX SFP transceiver module, SMF, 1550nm, DOM",GLC-ZX-SMD,"V02,",ACW25112S00
AYA-2-DR_202.28.31.209_20230313-1430,RP/0/RSP0/CPU0:AYA-2-DR,GigabitEthernet0/0/0/2,"1000BASE-ZX SFP transceiver module, SMF, 1550nm, DOM",GLC-ZX-SMD,"V02,",ACW25112S13
AYA-2-DR_202.28.31.209_20230313-1430,RP/0/RSP0/CPU0:AYA-2-DR,GigabitEthernet0/0/0/3,"1000BASE-ZX SFP transceiver module, SMF, 1550nm, DOM",GLC-ZX-SMD,"V02,",ACW25112S0H
AYA-2-DR_202.28.31.209_20230313-1430,RP/0/RSP0/CPU0:AYA-2-DR,GigabitEthernet0/0/0/4,"1000BASE-ZX SFP transceiver module, SMF, 1550nm, DOM",GLC-ZX-SMD,"V02,",ACW25112S16
AYA-2-DR_202.28.31.209_20230313-1430,RP/0/RSP0/CPU0:AYA-2-DR,GigabitEthernet0/0/0/5,"1000BASE-ZX SFP transceiver module, SMF, 1550nm, DOM",GLC-ZX-SMD,"V02,",ACW25112S0M
AYA-2-DR_202.28.31.209_20230313-1430,RP/0/RSP0/CPU0:AYA-2-DR,GigabitEthernet0/0/0/6,"1000BASE-ZX SFP transceiver module, SMF, 1550nm, DOM",GLC-ZX-SMD,"V02,",ACW25112S57
AYA-2-DR_202.28.31.209_20230313-1430,RP/0/RSP0/CPU0:AYA-2-DR,GigabitEthernet0/0/0/7,"1000BASE-ZX SFP transceiver module, SMF, 1550nm, DOM",GLC-ZX-SMD,"V02,",ACW25112S0Y
AYA-2-DR_202.28.31.209_20230313-1430,RP/0/RSP0/CPU0:AYA-2-DR,GigabitEthernet0/0/0/8,"1000BASE-ZX SFP transceiver module, SMF, 1550nm, DOM",GLC-ZX-SMD,"V02,",ACW25112S5A
AYA-2-DR_202.28.31.209_20230313-1430,RP/0/RSP0/CPU0:AYA-2-DR,GigabitEthernet0/0/0/9,"1000BASE-LX/LH SFP transceiver module, MMF/SMF, 1310nm, DOM",GLC-LH-SMD,"V02,",OPM25230SBR
AYA-2-DR_202.28.31.209_20230313-1430,RP/0/RSP0/CPU0:AYA-2-DR,GigabitEthernet0/0/0/10,"1000BASE-ZX SFP transceiver module, SMF, 1550nm, DOM",GLC-ZX-SMD,"V02,",ACW25112S5X
AYA-2-DR_202.28.31.209_20230313-1430,RP/0/RSP0/CPU0:AYA-2-DR,GigabitEthernet0/0/0/11,"1000BASE-ZX SFP transceiver module, SMF, 1550nm, DOM",GLC-ZX-SMD,"V02,",ACW25112S5D
AYA-2-DR_202.28.31.209_20230313-1430,RP/0/RSP0/CPU0:AYA-2-DR,TenGigE0/0/0/12,"10GBASE-LR SFP Module, Enterprise-Class",SFP-10G-LR-S,"V01,",FNS25260DT7
AYA-2-DR_202.28.31.209_20230313-1430,RP/0/RSP0/CPU0:AYA-2-DR,TenGigE0/0/0/13,"10GBASE-LR SFP Module, Enterprise-Class",SFP-10G-LR-S,"V01,",FNS25260DSS
AYA-2-DR_202.28.31.209_20230313-1430,RP/0/RSP0/CPU0:AYA-2-DR,TenGigE0/0/0/14,"10GBASE-LR SFP Module, Enterprise-Class",SFP-10G-LR-S,"V01,",FNS25260DRH
AYA-2-DR_202.28.31.209_20230313-1430,RP/0/RSP0/CPU0:AYA-2-DR,TenGigE0/0/0/15,"10GBASE-ER SFP Module, Enterprise-Class",SFP-10G-ER-S,"V01,",FNS251905U5
