INTERFACE,Vendor_Name,Vendor_Part_Number,Vendor_SN,TX_VALUE,RX_VALUE
Gige/0/0/0,Spectrum,SPSF125150080DC,SG46920560      ,1,<-40
Gige/0/0/1,Spectrum,SPSF125150080DC,SG46920561      ,2,-6
Gige/0/0/2,Spectrum,SPSF125150080DC,SG46920562      ,2,-13
Gige/0/0/3,Spectrum,SPSF125150080DC,SG46920563      ,2,0
Gige/0/0/4,Spectrum,SPSF125150080DC,SG46920564      ,1,<-40
Gige/0/0/5,Spectrum,SPSF125150080DC,SG46920565      ,2,-14
Gige/0/0/6,Spectrum,SPSF125150080DC,SG46920566      ,2,<-40
Gige/0/1/0,Spectrum,SPSF125150080DC,SG46920567      ,2,<-40
Gige/0/1/1,Spectrum,SPSF125150080DC,SG46920568      ,2,<-40
Gige/0/1/2,Spectrum,SPSF125150080DC,SG46920569      ,2,<-40
Gige/0/1/3,Spectrum,SPSF125150080DC,SG46920570      ,2,<-40
Gige/0/1/4,Spectrum,SPSF125150080DC,SG46920571      ,2,<-40
Gige/0/3/0,Spectrum,SPSF125150080DC,SG46920572      ,2,<-40
Gige/0/3/1,Spectrum,SPSF125150080DC,SG46920573      ,2,<-40
Gige/0/3/3,Spectrum,SPSF125150080DC,SG46920574      ,2,<-40
Gige/0/3/4,Spectrum,SPSF125150080DC,SG46920575      ,2,<-40
Gige/0/3/5,Spectrum,SPSF125150080DC,SG46920576      ,2,<-40
Gige/0/3/6,Spectrum,SPSF125150080DC,SG46920577      ,1,<-40
Gige/0/4/0,Spectrum,SPSF125150080DC,SG46920578      ,2,<-40
Gige/0/5/7,OEM,SFP-GE-L,GT1L096         ,,
